-nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, 0.000000, 0.333333, 0.333333, 0.333333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.250000, 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, 0.000000, 0.600000, 0.200000, 0.200000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, 0.166667, 0.500000, 0.166667, 0.166667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, 0.285714, 0.428571, 0.142857, 0.142857, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.000000, 0.000000, 0.000000, 0.250000, 0.375000, 0.125000, 0.125000, 0.000000, 0.000000, 0.125000, 0.000000, 0.000000, 
0.111111, 0.000000, 0.000000, 0.222222, 0.333333, 0.111111, 0.111111, 0.000000, 0.000000, 0.111111, 0.000000, 0.000000, 
0.100000, 0.000000, 0.000000, 0.200000, 0.300000, 0.100000, 0.100000, 0.000000, 0.100000, 0.100000, 0.000000, 0.000000, 
0.090909, 0.000000, 0.000000, 0.181818, 0.272727, 0.090909, 0.090909, 0.090909, 0.090909, 0.090909, 0.000000, 0.000000, 
0.083333, 0.000000, 0.000000, 0.166667, 0.250000, 0.083333, 0.166667, 0.083333, 0.083333, 0.083333, 0.000000, 0.000000, 
0.076923, 0.000000, 0.000000, 0.153846, 0.307692, 0.076923, 0.153846, 0.076923, 0.076923, 0.076923, 0.000000, 0.000000, 
0.071429, 0.000000, 0.000000, 0.214286, 0.285714, 0.071429, 0.142857, 0.071429, 0.071429, 0.071429, 0.000000, 0.000000, 
0.066667, 0.000000, 0.066667, 0.200000, 0.266667, 0.066667, 0.133333, 0.066667, 0.066667, 0.066667, 0.000000, 0.000000, 
0.062500, 0.000000, 0.062500, 0.187500, 0.250000, 0.125000, 0.125000, 0.062500, 0.062500, 0.062500, 0.000000, 0.000000, 
0.117647, 0.000000, 0.058824, 0.176471, 0.235294, 0.117647, 0.117647, 0.058824, 0.058824, 0.058824, 0.000000, 0.000000, 
0.111111, 0.000000, 0.055556, 0.166667, 0.222222, 0.111111, 0.111111, 0.055556, 0.111111, 0.055556, 0.000000, 0.000000, 
0.105263, 0.000000, 0.052632, 0.157895, 0.210526, 0.157895, 0.105263, 0.052632, 0.105263, 0.052632, 0.000000, 0.000000, 
0.100000, 0.000000, 0.050000, 0.150000, 0.200000, 0.200000, 0.100000, 0.050000, 0.100000, 0.050000, 0.000000, 0.000000, 
0.095238, 0.000000, 0.047619, 0.142857, 0.190476, 0.190476, 0.142857, 0.047619, 0.095238, 0.047619, 0.000000, 0.000000, 
0.090909, 0.000000, 0.045455, 0.136364, 0.181818, 0.181818, 0.136364, 0.045455, 0.136364, 0.045455, 0.000000, 0.000000, 
0.086957, 0.000000, 0.043478, 0.173913, 0.173913, 0.173913, 0.130435, 0.043478, 0.130435, 0.043478, 0.000000, 0.000000, 
0.083333, 0.000000, 0.041667, 0.166667, 0.208333, 0.166667, 0.125000, 0.041667, 0.125000, 0.041667, 0.000000, 0.000000, 
0.080000, 0.000000, 0.040000, 0.160000, 0.200000, 0.200000, 0.120000, 0.040000, 0.120000, 0.040000, 0.000000, 0.000000, 
0.076923, 0.000000, 0.038462, 0.153846, 0.192308, 0.192308, 0.115385, 0.038462, 0.115385, 0.076923, 0.000000, 0.000000, 
0.074074, 0.000000, 0.037037, 0.185185, 0.185185, 0.185185, 0.111111, 0.037037, 0.111111, 0.074074, 0.000000, 0.000000, 
0.071429, 0.000000, 0.035714, 0.178571, 0.178571, 0.214286, 0.107143, 0.035714, 0.107143, 0.071429, 0.000000, 0.000000, 
0.068966, 0.000000, 0.034483, 0.172414, 0.206897, 0.206897, 0.103448, 0.034483, 0.103448, 0.068966, 0.000000, 0.000000, 
0.066667, 0.000000, 0.033333, 0.166667, 0.200000, 0.233333, 0.100000, 0.033333, 0.100000, 0.066667, 0.000000, 0.000000, 
0.064516, 0.000000, 0.032258, 0.161290, 0.193548, 0.225806, 0.129032, 0.032258, 0.096774, 0.064516, 0.000000, 0.000000, 
0.062500, 0.000000, 0.031250, 0.156250, 0.187500, 0.250000, 0.125000, 0.031250, 0.093750, 0.062500, 0.000000, 0.000000, 
0.060606, 0.000000, 0.030303, 0.151515, 0.181818, 0.242424, 0.121212, 0.060606, 0.090909, 0.060606, 0.000000, 0.000000, 
0.058824, 0.000000, 0.029412, 0.147059, 0.176471, 0.235294, 0.117647, 0.088235, 0.088235, 0.058824, 0.000000, 0.000000, 
0.057143, 0.000000, 0.028571, 0.142857, 0.171429, 0.228571, 0.142857, 0.085714, 0.085714, 0.057143, 0.000000, 0.000000, 
0.055556, 0.000000, 0.027778, 0.166667, 0.166667, 0.222222, 0.138889, 0.083333, 0.083333, 0.055556, 0.000000, 0.000000, 
0.054054, 0.000000, 0.027027, 0.189189, 0.162162, 0.216216, 0.135135, 0.081081, 0.081081, 0.054054, 0.000000, 0.000000, 
0.052632, 0.000000, 0.026316, 0.184211, 0.157895, 0.236842, 0.131579, 0.078947, 0.078947, 0.052632, 0.000000, 0.000000, 
0.051282, 0.000000, 0.025641, 0.179487, 0.179487, 0.230769, 0.128205, 0.076923, 0.076923, 0.051282, 0.000000, 0.000000, 
0.050000, 0.000000, 0.025000, 0.175000, 0.175000, 0.250000, 0.125000, 0.075000, 0.075000, 0.050000, 0.000000, 0.000000, 
0.048780, 0.024390, 0.024390, 0.170732, 0.170732, 0.243902, 0.121951, 0.073171, 0.073171, 0.048780, 0.000000, 0.000000, 
0.047619, 0.023810, 0.047619, 0.166667, 0.166667, 0.238095, 0.119048, 0.071429, 0.071429, 0.047619, 0.000000, 0.000000, 
0.046512, 0.023256, 0.069767, 0.162791, 0.162791, 0.232558, 0.116279, 0.069767, 0.069767, 0.046512, 0.000000, 0.000000, 
0.045455, 0.022727, 0.068182, 0.159091, 0.159091, 0.227273, 0.113636, 0.068182, 0.090909, 0.045455, 0.000000, 0.000000, 
0.044444, 0.022222, 0.066667, 0.177778, 0.155556, 0.222222, 0.111111, 0.066667, 0.088889, 0.044444, 0.000000, 0.000000, 
